"filename", "language", "Go", "Go Checksum File", "Protocol Buffers", "Go Template File", "Go Module File", "comment", "blank", "total"
"/opt/projects/swiftkube/pkg/swiftlet/controller.go", "Go", 258, 0, 0, 0, 0, 0, 48, 306
"/opt/projects/swiftkube/vendor/cloud.google.com/go/compute/internal/version.go", "Go", 16, 0, 0, 0, 0, 0, 3, 19
"/opt/projects/swiftkube/vendor/cloud.google.com/go/compute/metadata/metadata.go", "Go", 473, 0, 0, 0, 0, 0, 71, 544
"/opt/projects/swiftkube/vendor/cloud.google.com/go/compute/metadata/retry.go", "Go", 102, 0, 0, 0, 0, 0, 13, 115
"/opt/projects/swiftkube/vendor/cloud.google.com/go/compute/metadata/retry_linux.go", "Go", 22, 0, 0, 0, 0, 0, 5, 27
"/opt/projects/swiftkube/vendor/cloud.google.com/go/compute/metadata/tidyfix.go", "Go", 20, 0, 0, 0, 0, 0, 4, 24
"/opt/projects/swiftkube/vendor/github.com/Azure/azure-sdk-for-go/services/compute/mgmt/2019-12-01/compute/availabilitysets.go", "Go", 580, 0, 0, 0, 0, 0, 73, 653
"/opt/projects/swiftkube/vendor/github.com/Azure/azure-sdk-for-go/services/compute/mgmt/2019-12-01/compute/client.go", "Go", 37, 0, 0, 0, 0, 0, 7, 44
"/opt/projects/swiftkube/vendor/github.com/Azure/azure-sdk-for-go/services/compute/mgmt/2019-12-01/compute/containerservices.go", "Go", 485, 0, 0, 0, 0, 0, 54, 539
"/opt/projects/swiftkube/vendor/github.com/Azure/azure-sdk-for-go/services/compute/mgmt/2019-12-01/compute/dedicatedhostgroups.go", "Go", 521, 0, 0, 0, 0, 0, 65, 586
"/opt/projects/swiftkube/vendor/github.com/Azure/azure-sdk-for-go/services/compute/mgmt/2019-12-01/compute/dedicatedhosts.go", "Go", 443, 0, 0, 0, 0, 0, 51, 494
"/opt/projects/swiftkube/vendor/github.com/Azure/azure-sdk-for-go/services/compute/mgmt/2019-12-01/compute/diskencryptionsets.go", "Go", 540, 0, 0, 0, 0, 0, 62, 602
